,time,amps
0,02/01/19 12:05:30 PM,37.0779
2,02/01/19 12:06:30 PM,37.9644
3,02/01/19 12:07:30 PM,38.0591
4,02/01/19 12:08:30 PM,38.4253
5,02/01/19 12:09:30 PM,38.0819
6,02/01/19 12:10:30 PM,38.265
7,02/01/19 12:11:30 PM,38.2223
9,02/01/19 12:12:30 PM,37.9767
11,02/01/19 12:13:30 PM,37.6059
13,02/01/19 12:14:30 PM,37.9614
15,02/01/19 12:15:30 PM,37.8607
17,02/01/19 12:16:30 PM,37.7096
19,02/01/19 12:17:30 PM,37.3587
21,02/01/19 12:18:30 PM,37.5387
23,02/01/19 12:19:30 PM,37.7462
25,02/01/19 12:20:30 PM,37.6944
27,02/01/19 12:21:30 PM,38.0011
29,02/01/19 12:22:30 PM,38.0774
31,02/01/19 12:23:30 PM,37.9889
33,02/01/19 12:24:30 PM,38.117
35,02/01/19 12:25:30 PM,38.2742
37,02/01/19 12:26:30 PM,37.9767
39,02/01/19 12:27:30 PM,38.1567
41,02/01/19 12:28:30 PM,38.0529
43,02/01/19 12:29:30 PM,38.7121
45,02/01/19 12:30:30 PM,38.0804
47,02/01/19 12:31:30 PM,38.0453
49,02/01/19 12:32:30 PM,38.1323
51,02/01/19 12:33:30 PM,38.1827
53,02/01/19 12:34:30 PM,38.294000000000004
55,02/01/19 12:35:30 PM,38.3536
57,02/01/19 12:36:30 PM,37.8027
59,02/01/19 12:37:30 PM,38.2528
61,02/01/19 12:38:30 PM,38.3917
63,02/01/19 12:39:30 PM,38.3658
65,02/01/19 12:40:30 PM,37.9324
67,02/01/19 12:41:30 PM,38.172
69,02/01/19 12:42:30 PM,38.1537
71,02/01/19 12:43:30 PM,38.2284
73,02/01/19 12:44:30 PM,37.9232
75,02/01/19 12:45:30 PM,37.8271
77,02/01/19 12:46:30 PM,38.0514
79,02/01/19 12:47:30 PM,37.9019
81,02/01/19 12:48:30 PM,38.2055
83,02/01/19 12:49:30 PM,38.4176
85,02/01/19 12:50:30 PM,38.349000000000004
87,02/01/19 12:51:30 PM,38.2132
89,02/01/19 12:52:30 PM,38.5199
91,02/01/19 12:53:30 PM,38.1094
93,02/01/19 12:54:30 PM,37.615
95,02/01/19 12:55:30 PM,37.9004
97,02/01/19 12:56:30 PM,37.6196
99,02/01/19 12:57:30 PM,0.032
101,02/01/19 12:58:30 PM,0.032
103,02/01/19 12:59:30 PM,0.032
105,02/01/19 01:00:30 PM,0.032
107,02/01/19 01:01:30 PM,0.032
109,02/01/19 01:02:30 PM,0.032
111,02/01/19 01:03:30 PM,0.032
113,02/01/19 01:04:30 PM,0.032
115,02/01/19 01:05:30 PM,0.032
117,02/01/19 01:06:30 PM,38.0438
119,02/01/19 01:07:30 PM,38.0819
121,02/01/19 01:08:30 PM,38.2269
123,02/01/19 01:09:30 PM,38.1384
125,02/01/19 01:10:30 PM,37.6974
127,02/01/19 01:11:30 PM,38.1796
129,02/01/19 01:12:30 PM,37.8042
131,02/01/19 01:13:30 PM,38.2528
133,02/01/19 01:14:30 PM,38.3658
135,02/01/19 01:15:30 PM,38.3688
137,02/01/19 01:16:30 PM,38.23
139,02/01/19 01:17:30 PM,37.9522
141,02/01/19 01:18:30 PM,37.8012
143,02/01/19 01:19:30 PM,37.9171
145,02/01/19 01:20:30 PM,37.9385
147,02/01/19 01:21:30 PM,37.5479
149,02/01/19 01:22:30 PM,38.0987
151,02/01/19 01:23:30 PM,38.175
153,02/01/19 01:24:30 PM,37.702
155,02/01/19 01:25:30 PM,38.1979
157,02/01/19 01:26:30 PM,38.2086
159,02/01/19 01:27:30 PM,37.9202
161,02/01/19 01:28:30 PM,38.3932
163,02/01/19 01:29:30 PM,37.9553
165,02/01/19 01:30:30 PM,37.7173
167,02/01/19 01:31:30 PM,38.2559
169,02/01/19 01:32:30 PM,37.9583
171,02/01/19 01:33:30 PM,37.8256
173,02/01/19 01:34:30 PM,37.7005
175,02/01/19 01:35:30 PM,37.8927
177,02/01/19 01:36:30 PM,37.937
179,02/01/19 01:37:30 PM,38.1338
181,02/01/19 01:38:30 PM,37.8775
183,02/01/19 01:39:30 PM,37.9858
185,02/01/19 01:40:30 PM,37.9553
187,02/01/19 01:41:30 PM,38.0545
189,02/01/19 01:42:30 PM,38.1369
191,02/01/19 01:43:30 PM,38.0346
193,02/01/19 01:44:30 PM,37.9034
195,02/01/19 01:45:30 PM,37.7218
197,02/01/19 01:46:30 PM,37.882
199,02/01/19 01:47:30 PM,38.3551
201,02/01/19 01:48:30 PM,38.0606
203,02/01/19 01:49:30 PM,37.7615
205,02/01/19 01:50:30 PM,37.8714
207,02/01/19 01:51:30 PM,37.9461
209,02/01/19 01:52:30 PM,37.7844
211,02/01/19 01:53:30 PM,38.3169
213,02/01/19 01:54:30 PM,38.3932
215,02/01/19 01:55:30 PM,38.0728
217,02/01/19 01:56:30 PM,37.9858
219,02/01/19 01:57:30 PM,0.0305
221,02/01/19 01:58:30 PM,0.0305
223,02/01/19 01:59:30 PM,0.0305
225,02/01/19 02:00:30 PM,0.0305
227,02/01/19 02:01:30 PM,0.0305
229,02/01/19 02:02:30 PM,0.0305
231,02/01/19 02:03:30 PM,0.0305
233,02/01/19 02:04:30 PM,0.0305
235,02/01/19 02:05:30 PM,38.7304
237,02/01/19 02:06:30 PM,38.2376
239,02/01/19 02:07:30 PM,38.0179
241,02/01/19 02:08:30 PM,38.0774
243,02/01/19 02:09:30 PM,38.3932
245,02/01/19 02:10:30 PM,38.291
247,02/01/19 02:11:30 PM,38.262
249,02/01/19 02:12:30 PM,38.1155
251,02/01/19 02:13:30 PM,37.9858
253,02/01/19 02:14:30 PM,37.969
255,02/01/19 02:15:30 PM,38.143
257,02/01/19 02:16:30 PM,37.8882
259,02/01/19 02:17:30 PM,37.7111
261,02/01/19 02:18:30 PM,38.0316
263,02/01/19 02:19:30 PM,37.9706
265,02/01/19 02:20:30 PM,37.7981
267,02/01/19 02:21:30 PM,38.0987
269,02/01/19 02:22:30 PM,38.0819
271,02/01/19 02:23:30 PM,37.6059
273,02/01/19 02:24:30 PM,38.0636
275,02/01/19 02:25:30 PM,37.7646
277,02/01/19 02:26:30 PM,38.1247
279,02/01/19 02:27:30 PM,38.1353
281,02/01/19 02:28:30 PM,38.2101
283,02/01/19 02:29:30 PM,37.9324
285,02/01/19 02:30:30 PM,37.9156
287,02/01/19 02:31:30 PM,38.1048
289,02/01/19 02:32:30 PM,37.9614
291,02/01/19 02:33:30 PM,37.9324
293,02/01/19 02:34:30 PM,37.7935
295,02/01/19 02:35:30 PM,38.1003
297,02/01/19 02:36:30 PM,38.0941
299,02/01/19 02:37:30 PM,37.8698
301,02/01/19 02:38:30 PM,37.8637
303,02/01/19 02:39:30 PM,37.7981
305,02/01/19 02:40:30 PM,37.9553
307,02/01/19 02:41:30 PM,38.0148
309,02/01/19 02:42:30 PM,38.0087
311,02/01/19 02:43:30 PM,38.0789
313,02/01/19 02:44:30 PM,37.9049
315,02/01/19 02:45:30 PM,37.673
317,02/01/19 02:46:30 PM,37.9278
319,02/01/19 02:47:30 PM,38.1796
321,02/01/19 02:48:30 PM,38.0636
323,02/01/19 02:49:30 PM,38.2071
325,02/01/19 02:50:30 PM,38.1781
327,02/01/19 02:51:30 PM,37.9202
329,02/01/19 02:52:30 PM,37.9995
331,02/01/19 02:53:30 PM,38.0117
333,02/01/19 02:54:30 PM,38.0362
335,02/01/19 02:55:30 PM,37.9171
337,02/01/19 02:56:30 PM,38.1674
339,02/01/19 02:57:30 PM,0.028999999999999998
341,02/01/19 02:58:30 PM,0.028999999999999998
343,02/01/19 02:59:30 PM,0.028999999999999998
345,02/01/19 03:00:30 PM,0.028999999999999998
347,02/01/19 03:01:30 PM,0.028999999999999998
349,02/01/19 03:02:30 PM,0.028999999999999998
351,02/01/19 03:03:30 PM,0.028999999999999998
353,02/01/19 03:04:30 PM,0.028999999999999998
355,02/01/19 03:05:30 PM,0.028999999999999998
357,02/01/19 03:06:30 PM,39.8306
359,02/01/19 03:07:30 PM,37.9248
361,02/01/19 03:08:30 PM,38.0697
363,02/01/19 03:09:30 PM,37.9278
365,02/01/19 03:10:30 PM,38.0117
367,02/01/19 03:11:30 PM,37.6791
369,02/01/19 03:12:30 PM,38.2605
371,02/01/19 03:13:30 PM,38.0636
373,02/01/19 03:14:30 PM,38.2284
375,02/01/19 03:15:30 PM,38.2666
377,02/01/19 03:16:30 PM,38.1933
379,02/01/19 03:17:30 PM,38.0789
381,02/01/19 03:18:30 PM,38.2269
383,02/01/19 03:19:30 PM,38.0362
385,02/01/19 03:20:30 PM,37.7173
387,02/01/19 03:21:30 PM,38.0529
389,02/01/19 03:22:30 PM,37.9461
391,02/01/19 03:23:30 PM,38.0774
393,02/01/19 03:24:30 PM,38.088
395,02/01/19 03:25:30 PM,37.8698
397,02/01/19 03:26:30 PM,37.9599
399,02/01/19 03:27:30 PM,37.9049
401,02/01/19 03:28:30 PM,38.1033
403,02/01/19 03:29:30 PM,37.8515
405,02/01/19 03:30:30 PM,37.94
407,02/01/19 03:31:30 PM,37.8134
409,02/01/19 03:32:30 PM,37.7829
411,02/01/19 03:33:30 PM,37.7493
413,02/01/19 03:34:30 PM,37.7584
415,02/01/19 03:35:30 PM,38.0224
417,02/01/19 03:36:30 PM,37.7798
419,02/01/19 03:37:30 PM,37.8515
421,02/01/19 03:38:30 PM,37.9614
423,02/01/19 03:39:30 PM,37.85
425,02/01/19 03:40:30 PM,38.0438
427,02/01/19 03:41:30 PM,38.0728
429,02/01/19 03:42:30 PM,37.6181
431,02/01/19 03:43:30 PM,37.7661
433,02/01/19 03:44:30 PM,37.9416
435,02/01/19 03:45:30 PM,37.9339
437,02/01/19 03:46:30 PM,37.7752
439,02/01/19 03:47:30 PM,37.8515
441,02/01/19 03:48:30 PM,37.7371
443,02/01/19 03:49:30 PM,37.7264
445,02/01/19 03:50:30 PM,37.911
447,02/01/19 03:51:30 PM,37.6455
449,02/01/19 03:52:30 PM,37.9477
451,02/01/19 03:53:30 PM,37.7935
453,02/01/19 03:54:30 PM,37.7417
455,02/01/19 03:55:30 PM,37.995
457,02/01/19 03:56:30 PM,37.8988
459,02/01/19 03:57:30 PM,0.0275
