time,amps,on
01/11/19 09:52 AM,38.4268,1
01/11/19 09:53 AM,38.323,1
01/11/19 09:54 AM,38.2422,1
01/11/19 09:55 AM,38.6145,1
01/11/19 09:56 AM,38.3078,1
01/11/19 09:57 AM,38.5229,1
01/11/19 09:58 AM,38.2773,1
01/11/19 09:59 AM,38.4817,1
01/11/19 10:00 AM,38.4497,1
01/11/19 10:01 AM,38.4192,1
01/11/19 10:02 AM,38.6053,1
01/11/19 10:03 AM,38.8067,1
01/11/19 10:04 AM,38.587,1
01/11/19 10:05 AM,38.5519,1
01/11/19 10:06 AM,38.3948,1
01/11/19 10:07 AM,38.5367,1
01/11/19 10:08 AM,38.3978,1
01/11/19 10:09 AM,38.3017,1
01/11/19 10:10 AM,38.5199,1
01/11/19 10:11 AM,38.3047,1
01/11/19 10:12 AM,38.291,1
01/11/19 10:13 AM,38.436,1
01/11/19 10:14 AM,38.3474,1
01/11/19 10:15 AM,38.4939,1
01/11/19 10:16 AM,38.7945,1
01/11/19 10:17 AM,38.0545,1
01/11/19 10:18 AM,38.3856,1
01/11/19 10:19 AM,38.5931,1
01/11/19 10:20 AM,38.5397,1
01/11/19 10:21 AM,38.6252,1
01/11/19 10:22 AM,38.4085,1
01/11/19 10:23 AM,38.6206,1
01/11/19 10:24 AM,38.4985,1
01/11/19 10:25 AM,38.0926,1
01/11/19 10:26 AM,38.7533,1
01/11/19 10:27 AM,38.4024,1
01/11/19 10:28 AM,38.4054,1
01/11/19 10:29 AM,38.4695,1
01/11/19 10:30 AM,38.6175,1
01/11/19 10:31 AM,38.7182,1
01/11/19 10:32 AM,38.1201,1
01/11/19 10:33 AM,38.7549,1
01/11/19 10:34 AM,38.7701,1
01/11/19 10:35 AM,38.5061,1
01/11/19 10:36 AM,38.3871,1
01/11/19 10:37 AM,38.201,1
01/11/19 10:38 AM,38.2467,1
01/11/19 10:39 AM,38.4085,1
01/11/19 10:40 AM,38.5885,1
01/11/19 10:41 AM,38.6297,1
01/11/19 10:42 AM,38.2147,1
01/11/19 10:43 AM,38.3307,1
01/11/19 10:44 AM,38.5443,1
01/11/19 10:45 AM,38.5565,1
01/11/19 10:46 AM,38.2361,1
01/11/19 10:47 AM,38.1689,1
01/11/19 10:48 AM,38.2788,1
01/11/19 10:49 AM,38.4634,1
01/11/19 10:50 AM,38.6938,1
01/11/19 10:51 AM,38.4512,1
01/11/19 10:52 AM,38.3642,1
01/11/19 10:53 AM,38.2025,1
01/11/19 10:54 AM,38.5107,1
01/11/19 10:55 AM,38.3642,1
01/11/19 10:56 AM,38.5473,1
01/11/19 10:57 AM,38.1827,1
01/11/19 10:58 AM,38.5046,1
01/11/19 10:59 AM,38.4314,1
01/11/19 11:00 AM,38.172,1
01/11/19 11:01 AM,38.3871,1
01/11/19 11:02 AM,38.6893,1
01/11/19 11:03 AM,38.4771,1
01/11/19 11:04 AM,38.4146,1
01/11/19 11:05 AM,38.6252,1
01/11/19 11:06 AM,38.4268,1
01/11/19 11:07 AM,38.1689,1
01/11/19 11:08 AM,38.555,1
01/11/19 11:09 AM,38.4085,1
01/11/19 11:10 AM,38.1918,1
01/11/19 11:11 AM,38.7457,1
01/11/19 11:12 AM,38.4314,1
01/11/19 11:13 AM,38.5611,1
01/11/19 11:14 AM,38.8266,1
01/11/19 11:15 AM,38.4833,1
01/11/19 11:16 AM,38.7121,1
01/11/19 11:17 AM,38.4253,1
01/11/19 11:18 AM,38.4237,1
01/11/19 11:19 AM,38.5748,1
01/11/19 11:20 AM,38.3093,1
01/11/19 11:21 AM,38.5657,1
01/11/19 11:22 AM,38.3948,1
01/11/19 11:23 AM,38.4237,1
01/11/19 11:24 AM,38.6526,1
01/11/19 11:25 AM,38.3368,1
01/11/19 11:26 AM,38.4787,1
01/11/19 11:27 AM,38.6893,1
01/11/19 11:28 AM,38.6496,1
01/11/19 11:29 AM,38.3734,1
01/11/19 11:30 AM,38.4466,1
01/11/19 11:31 AM,38.5473,1
01/11/19 11:32 AM,38.613,1
01/11/19 11:33 AM,38.6069,1
01/11/19 11:34 AM,38.5489,1
01/11/19 11:35 AM,38.4222,1
01/11/19 11:36 AM,38.9044,1
01/11/19 11:37 AM,38.7518,1
01/11/19 11:38 AM,38.6175,1
01/11/19 11:39 AM,38.3001,1
01/11/19 11:40 AM,38.4497,1
01/11/19 11:41 AM,38.4558,1
01/11/19 11:42 AM,38.4146,1
01/11/19 11:43 AM,38.6221,1
01/11/19 11:44 AM,38.407,1
01/11/19 11:45 AM,38.41,1
01/11/19 11:46 AM,38.3841,1
01/11/19 11:47 AM,38.4436,1
01/11/19 11:48 AM,38.0423,1
01/11/19 11:49 AM,38.7106,1
01/11/19 11:50 AM,38.8876,1
01/11/19 11:51 AM,38.4802,1
01/11/19 11:52 AM,38.4756,1
01/11/19 11:53 AM,38.3627,1
01/11/19 11:54 AM,38.7503,1
01/11/19 11:55 AM,38.8128,1
01/11/19 11:56 AM,38.3764,1
01/11/19 11:57 AM,38.6313,1
01/11/19 11:58 AM,38.5489,1
01/11/19 11:59 AM,38.3871,1
01/11/19 12:00 AM,38.4451,1
01/11/19 12:01 PM,38.6221,1
01/11/19 12:02 PM,38.9014,1
01/11/19 12:03 PM,38.3474,1
01/11/19 12:04 PM,38.3398,1
01/11/19 12:05 PM,38.6175,1
01/11/19 12:06 PM,38.5702,1
01/11/19 12:07 PM,38.6389,1
01/11/19 12:08 PM,38.7243,1
01/11/19 12:09 PM,38.4771,1
01/11/19 12:10 PM,38.381,1
01/11/19 12:11 PM,38.6679,1
01/11/19 12:12 PM,38.5351,1
01/11/19 12:13 PM,38.3017,1
01/11/19 12:14 PM,38.5245,1
01/11/19 12:15 PM,38.2803,1
01/11/19 12:16 PM,38.407,1
01/11/19 12:17 PM,38.8525,1
01/11/19 12:18 PM,38.5214,1
01/11/19 12:19 PM,38.6007,1
01/11/19 12:20 PM,38.4726,1
01/11/19 12:21 PM,38.79,1
01/11/19 12:22 PM,38.8296,1
01/11/19 12:23 PM,38.3978,1
01/11/19 12:24 PM,38.4833,1
01/11/19 12:25 PM,38.6419,1
01/11/19 12:26 PM,38.5397,1
01/11/19 12:27 PM,38.3658,1
01/11/19 12:28 PM,38.6007,1
01/11/19 12:29 PM,38.7991,1
01/11/19 12:30 PM,38.9136,1
01/11/19 12:31 PM,38.9441,1
01/11/19 12:32 PM,38.5229,1
01/11/19 12:33 PM,38.8266,1
01/11/19 12:34 PM,38.5199,1
01/11/19 12:35 PM,38.8479,1
01/11/19 12:36 PM,38.3978,1
01/11/19 12:37 PM,38.7091,1
01/11/19 12:38 PM,38.7716,1
01/11/19 12:39 PM,38.5153,1
01/11/19 12:40 PM,38.5245,1
01/11/19 12:41 PM,38.6023,1
01/11/19 12:42 PM,38.616,1
01/11/19 12:43 PM,38.8891,1
01/11/19 12:44 PM,38.5779,1
01/11/19 12:45 PM,38.7778,1
01/11/19 12:46 PM,38.7396,1
01/11/19 12:47 PM,38.8495,1
01/11/19 12:48 PM,38.6786,1
01/11/19 12:49 PM,38.8739,1
01/11/19 12:50 PM,38.7961,1
01/11/19 12:51 PM,38.6526,1
01/11/19 12:52 PM,38.5306,1
01/11/19 12:53 PM,38.6847,1
01/11/19 12:54 PM,38.7488,1
01/11/19 12:55 PM,38.7457,1
01/11/19 12:56 PM,38.7915,1
01/11/19 12:57 PM,39.1043,1
01/11/19 12:58 PM,38.9731,1
01/11/19 12:59 PM,38.9944,1
