time,amps
02/01/19 12:05:30 PM,37.0779
02/01/19 12:06:30 PM,37.9644
02/01/19 12:07:30 PM,38.0591
02/01/19 12:08:30 PM,38.4253
02/01/19 12:09:30 PM,38.0819
02/01/19 12:10:30 PM,38.265
02/01/19 12:11:30 PM,38.2223
02/01/19 12:12:30 PM,37.9767
02/01/19 12:13:30 PM,37.6059
02/01/19 12:14:30 PM,37.9614
02/01/19 12:15:30 PM,37.8607
02/01/19 12:15:33 PM,
02/01/19 12:16:30 PM,37.7096
02/01/19 12:16:33 PM,
02/01/19 12:17:30 PM,37.3587
02/01/19 12:17:33 PM,
02/01/19 12:18:30 PM,37.5387
02/01/19 12:18:33 PM,
02/01/19 12:19:30 PM,37.7462
02/01/19 12:19:33 PM,
02/01/19 12:20:30 PM,37.6944
02/01/19 12:20:33 PM,
02/01/19 12:21:30 PM,38.0011
02/01/19 12:21:33 PM,
02/01/19 12:22:30 PM,38.0774
02/01/19 12:22:33 PM,
02/01/19 12:23:30 PM,37.9889
02/01/19 12:23:33 PM,
02/01/19 12:24:30 PM,38.117
02/01/19 12:24:33 PM,
02/01/19 12:25:30 PM,38.2742
02/01/19 12:25:33 PM,
02/01/19 12:26:30 PM,37.9767
02/01/19 12:26:33 PM,
02/01/19 12:27:30 PM,38.1567
02/01/19 12:27:33 PM,
02/01/19 12:28:30 PM,38.0529
02/01/19 12:28:33 PM,
02/01/19 12:29:30 PM,38.7121
02/01/19 12:29:33 PM,
02/01/19 12:30:30 PM,38.0804
02/01/19 12:30:33 PM,
02/01/19 12:31:30 PM,38.0453
02/01/19 12:31:33 PM,
02/01/19 12:32:30 PM,38.1323
02/01/19 12:32:33 PM,
02/01/19 12:33:30 PM,38.1827
02/01/19 12:33:33 PM,
02/01/19 12:34:30 PM,38.294
02/01/19 12:34:33 PM,
02/01/19 12:35:30 PM,38.3536
02/01/19 12:35:33 PM,
02/01/19 12:36:30 PM,37.8027
02/01/19 12:36:33 PM,
02/01/19 12:37:30 PM,38.2528
02/01/19 12:37:33 PM,
02/01/19 12:38:30 PM,38.3917
02/01/19 12:38:33 PM,
02/01/19 12:39:30 PM,38.3658
02/01/19 12:39:33 PM,
02/01/19 12:40:30 PM,37.9324
02/01/19 12:40:33 PM,
02/01/19 12:41:30 PM,38.172
02/01/19 12:41:33 PM,
02/01/19 12:42:30 PM,38.1537
02/01/19 12:42:33 PM,
02/01/19 12:43:30 PM,38.2284
02/01/19 12:43:33 PM,
02/01/19 12:44:30 PM,37.9232
02/01/19 12:44:33 PM,
02/01/19 12:45:30 PM,37.8271
02/01/19 12:45:33 PM,
02/01/19 12:46:30 PM,38.0514
02/01/19 12:46:33 PM,
02/01/19 12:47:30 PM,37.9019
02/01/19 12:47:33 PM,
02/01/19 12:48:30 PM,38.2055
02/01/19 12:48:33 PM,
02/01/19 12:49:30 PM,38.4176
02/01/19 12:49:33 PM,
02/01/19 12:50:30 PM,38.349
02/01/19 12:50:33 PM,
02/01/19 12:51:30 PM,38.2132
02/01/19 12:51:33 PM,
02/01/19 12:52:30 PM,38.5199
02/01/19 12:52:33 PM,
02/01/19 12:53:30 PM,38.1094
02/01/19 12:53:33 PM,
02/01/19 12:54:30 PM,37.615
