,time,amps,on
0,02/01/19 12:05:30 PM,37.0779,1
1,02/01/19 12:06:30 PM,37.9644,1
2,02/01/19 12:07:30 PM,38.0591,1
3,02/01/19 12:08:30 PM,38.4253,1
4,02/01/19 12:09:30 PM,38.0819,1
5,02/01/19 12:10:30 PM,38.265,1
6,02/01/19 12:11:30 PM,38.2223,1
7,02/01/19 12:12:30 PM,37.9767,1
8,02/01/19 12:13:30 PM,37.6059,1
9,02/01/19 12:14:30 PM,37.9614,1
10,02/01/19 12:15:30 PM,37.8607,1
12,02/01/19 12:16:30 PM,37.7096,1
14,02/01/19 12:17:30 PM,37.3587,1
16,02/01/19 12:18:30 PM,37.5387,1
18,02/01/19 12:19:30 PM,37.7462,1
20,02/01/19 12:20:30 PM,37.6944,1
22,02/01/19 12:21:30 PM,38.0011,1
24,02/01/19 12:22:30 PM,38.0774,1
26,02/01/19 12:23:30 PM,37.9889,1
28,02/01/19 12:24:30 PM,38.117,1
30,02/01/19 12:25:30 PM,38.2742,1
32,02/01/19 12:26:30 PM,37.9767,1
34,02/01/19 12:27:30 PM,38.1567,1
36,02/01/19 12:28:30 PM,38.0529,1
38,02/01/19 12:29:30 PM,38.7121,1
40,02/01/19 12:30:30 PM,38.0804,1
42,02/01/19 12:31:30 PM,38.0453,1
44,02/01/19 12:32:30 PM,38.1323,1
46,02/01/19 12:33:30 PM,38.1827,1
48,02/01/19 12:34:30 PM,38.294000000000004,1
50,02/01/19 12:35:30 PM,38.3536,1
52,02/01/19 12:36:30 PM,37.8027,1
54,02/01/19 12:37:30 PM,38.2528,1
56,02/01/19 12:38:30 PM,38.3917,1
58,02/01/19 12:39:30 PM,38.3658,1
60,02/01/19 12:40:30 PM,37.9324,1
62,02/01/19 12:41:30 PM,38.172,1
64,02/01/19 12:42:30 PM,38.1537,1
66,02/01/19 12:43:30 PM,38.2284,1
68,02/01/19 12:44:30 PM,37.9232,1
70,02/01/19 12:45:30 PM,37.8271,1
72,02/01/19 12:46:30 PM,38.0514,1
74,02/01/19 12:47:30 PM,37.9019,1
76,02/01/19 12:48:30 PM,38.2055,1
78,02/01/19 12:49:30 PM,38.4176,1
80,02/01/19 12:50:30 PM,38.349000000000004,1
82,02/01/19 12:51:30 PM,38.2132,1
84,02/01/19 12:52:30 PM,38.5199,1
86,02/01/19 12:53:30 PM,38.1094,1
88,02/01/19 12:54:30 PM,37.615,1
90,02/01/19 12:55:30 PM,37.9004,1
